序号,vid,uid,弹幕
648,392,945,222222
649,409,266,格局小了
650,391,364,甜茶好御
651,8,665,考上教师编制
652,85,53,非得要人愈来愈多
653,728,694,哈哈哈哈
654,16,649,吓我一跳
655,445,348,50块钱一斤
656,970,573,？
657,960,218,就会产生毒素
658,426,270,卧槽，哈哈哈哈哈哈
659,742,507,纳米的你在搞笑吗，你的血管有纳米那么细吗
660,291,592,怎么收藏呀
661,207,904,一个工地朋友
662,785,133,介入导丝
663,406,373,可以啊
664,55,212,哈哈哈哈哈这个公司连个用脑子写文书的人都找不出来吗
665,702,368,哈哈哈
666,400,800,硬核真人实验
667,661,351,现在的年轻人太没有社会责任感了，生孩子可不是一家的事
668,894,43,爱你哟
669,971,818,1
670,567,800,不倒翁算什么
671,475,546,发热
672,639,801,震惊
673,527,215,我丢了三万
674,285,83,天杀的
675,398,753,没有学习任务淦！
676,611,629,加油加油
677,526,129,打的就是笑脸人，骂的就是送礼人
678,37,803,哈哈
679,957,865,谢谢up～看了你的视频我在上周成功追回了我的部分赔偿
680,711,295,舔狗的最高境界
681,481,700,它看情况打气压，让他达到合适的直径
682,642,32,派克曾
683,826,71,2
684,397,605,哇真的我点开视频第一眼就觉得像仁
685,427,416,胡说八道
686,567,577,可以过四级
687,938,509,同款优盘
688,21,6,哈哈哈呵呵呵还好还好哈
689,203,939,棒棒哒
690,510,620,知道的越多越痛苦
691,39,327,11111
692,48,482,2
693,741,244,好耶
694,595,250,22222222
695,698,929,哈哈哈哈哈哈哈纳尼
696,933,672,高考考620分
697,84,675,强攻高数
698,24,136,有些小朋友觉得很简单自己也能逼逼两句，但重点是数学证明，真当科研这么好做论文这么好发？
699,98,755,好时髦的乌龟
700,77,697,哈哈哈哈哈哈哈哈哈哈哈哈
701,238,932,冈本？
702,175,230,222222
703,871,132,是真的，特别爽，所以高中很喜欢学哲学
704,627,186,我家这边还有个古墓没挖完就回填了。砖场怕影响工期。
705,375,48,卧槽 大学恶斗两年
706,99,298,中国学外语干嘛？
707,803,748,岫玉吧
708,731,909,这时候就得提起巴别塔了
709,242,28,危     U盘     危
710,188,647,致敬
711,980,396,《大粽子》
712,97,520,除了挣钱还有什么？
713,17,347,你说对了
714,704,959,1
715,245,138,1
716,823,806,猝不及防
717,467,29,一针见血
718,555,706,1
719,295,70,我就是做冠脉介入的∶前面圆环胶套是保护套。这是一个支架输送系统。简单来讲就是一个压缩的支架挂在压缩的气球上面。后面是输送杆和连接压力泵的接头。
720,49,460,过于真实hhh
721,889,308,腊肠树果
722,528,894,致敬
723,676,514,是不是可以打地主了
724,406,766,总有一款适合你
725,459,780,吾辈
726,952,646,致敬
727,346,290,火鹰便宜了
728,1,334,打击垄断行业
729,359,639,你指望一个刚出生的婴儿有什么用吗
730,96,674,很多宿舍有
731,774,801,总有一款适合你
732,797,315,我小时候一直以为是怪兽的怪，现在广东很少有看到了以前一棵树十几只
733,39,315,考CFA
734,632,112,我们老师说只要里面的蛋黄往下沉，就有几率可以把鸡蛋立起来啊
735,403,741,情感节目？
736,103,234,波斯很牛逼的
737,654,98,懂了，刷题去了
738,211,703,？
739,316,550,不不不，首先得有钱
740,249,940,我们既不交，又不给钱
741,83,596,2
742,580,887,GWW:您有事？
743,199,460,说出真相
744,864,243,不传谣不信谣
745,113,659,猝不及防
746,548,705,话真多
747,733,298,好！春节没这个爽子姐的节目爷不看
748,204,879,那我们是不是不能三连
749,401,584,二尖瓣的支架吗
750,598,29,收敛的和不收敛的
751,515,467,泡菜挺有营养的吧
752,153,492,性游戏nb
753,221,691,夸克真的好用！！用了很久了
754,506,591,1
755,589,960,人家说的是人均消耗
756,603,229,陪葬的
757,486,514,看到最后会爆炸
758,5,806,东北人表示不至于
759,72,944,哈哈哈哈哈哈哈哈哈哈哈哈
760,459,390,温柔有用
761,846,43,张谦蛋？！？
762,702,108,非常吓人
763,590,320,手都在抖
